Start-Date,End-Date,Avg-Sentiment
2018-11-18,2018-12-07,0.05021482782429211
2018-12-08,2018-12-21,-0.0038912536750739125
2018-12-22,2019-01-22,0.07212948715603028
2019-01-23,2019-02-05,0.09145481364075114
2019-02-06,2019-04-25,0.04724001720532338
2019-04-26,2019-05-17,0.0342325269968406
2019-05-18,2019-09-03,0.04610751479111244
2019-09-04,2019-09-17,0.06702122141395732
2019-09-18,2019-12-07,0.04712418776911194
2019-12-08,2019-12-21,0.059414048897732705
2019-12-22,2020-01-21,0.05522052155013119
2020-01-22,2020-02-04,0.04462413994132814
2020-02-05,2020-03-19,0.03798141018541202
